age,education,marital_status,occupation,race,sex,native_country
37,HS-grad,Divorced,?,Asian-Pac-Islander,Female,?
39,Masters,Married-civ-spouse,?,Asian-Pac-Islander,Female,?
24,HS-grad,Never-married,?,Asian-Pac-Islander,Female,?
28,Some-college,Never-married,Adm-clerical,Asian-Pac-Islander,Female,?
26,Assoc-acdm,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Female,?
50,Some-college,Divorced,Exec-managerial,Asian-Pac-Islander,Female,?
45,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,?
45,Bachelors,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,?
44,HS-grad,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Female,?
43,5th-6th,Married-civ-spouse,Machine-op-inspct,Asian-Pac-Islander,Female,?
20,Some-college,Never-married,Machine-op-inspct,Asian-Pac-Islander,Female,?
42,7th-8th,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,?
43,Bachelors,Married-civ-spouse,Other-service,Asian-Pac-Islander,Female,?
25,Assoc-voc,Never-married,Other-service,Asian-Pac-Islander,Female,?
20,HS-grad,Never-married,Other-service,Asian-Pac-Islander,Female,?
37,HS-grad,Divorced,Prof-specialty,Asian-Pac-Islander,Female,?
30,Prof-school,Never-married,Prof-specialty,Asian-Pac-Islander,Female,?
48,HS-grad,Divorced,Sales,Asian-Pac-Islander,Female,?
37,12th,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,?
31,12th,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,?
30,HS-grad,Married-civ-spouse,Sales,Asian-Pac-Islander,Female,?
36,HS-grad,Never-married,Sales,Asian-Pac-Islander,Female,?
27,Bachelors,Married-civ-spouse,?,Black,Female,?
46,HS-grad,Divorced,Adm-clerical,Black,Female,?
36,HS-grad,Divorced,Adm-clerical,Black,Female,?
42,HS-grad,Never-married,Adm-clerical,Black,Female,?
24,Some-college,Never-married,Adm-clerical,Black,Female,?
55,Some-college,Never-married,Adm-clerical,Black,Female,?
30,Some-college,Never-married,Adm-clerical,Black,Female,?
41,HS-grad,Separated,Adm-clerical,Black,Female,?
34,Some-college,Separated,Adm-clerical,Black,Female,?
32,10th,Separated,Craft-repair,Black,Female,?
46,HS-grad,Separated,Craft-repair,Black,Female,?
43,Some-college,Divorced,Exec-managerial,Black,Female,?
43,Bachelors,Married-civ-spouse,Exec-managerial,Black,Female,?
28,Bachelors,Never-married,Exec-managerial,Black,Female,?
41,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Female,?
38,Bachelors,Divorced,Other-service,Black,Female,?
37,HS-grad,Divorced,Other-service,Black,Female,?
37,HS-grad,Divorced,Other-service,Black,Female,?
29,12th,Never-married,Other-service,Black,Female,?
28,HS-grad,Never-married,Other-service,Black,Female,?
24,HS-grad,Never-married,Other-service,Black,Female,?
32,HS-grad,Never-married,Other-service,Black,Female,?
31,HS-grad,Never-married,Other-service,Black,Female,?
36,9th,Separated,Other-service,Black,Female,?
42,HS-grad,Separated,Other-service,Black,Female,?
52,Some-college,Widowed,Other-service,Black,Female,?
36,HS-grad,Never-married,Priv-house-serv,Black,Female,?
50,Masters,Divorced,Prof-specialty,Black,Female,?
37,Assoc-acdm,Married-civ-spouse,Prof-specialty,Black,Female,?
31,Bachelors,Never-married,Prof-specialty,Black,Female,?
32,Bachelors,Never-married,Prof-specialty,Black,Female,?
34,Masters,Never-married,Tech-support,Black,Female,?
38,Bachelors,Married-civ-spouse,?,Other,Female,?
32,Some-college,Married-civ-spouse,Adm-clerical,Other,Female,?
53,HS-grad,Never-married,Craft-repair,Other,Female,?
26,7th-8th,Never-married,Other-service,Other,Female,?
27,Bachelors,Never-married,Prof-specialty,Other,Female,?
32,Masters,Never-married,Prof-specialty,Other,Female,?
18,11th,Never-married,Sales,Other,Female,?
35,10th,Divorced,?,White,Female,?
81,Assoc-voc,Divorced,?,White,Female,?
35,Bachelors,Divorced,?,White,Female,?
28,Some-college,Divorced,?,White,Female,?
41,Assoc-voc,Married-civ-spouse,?,White,Female,?
69,Prof-school,Married-civ-spouse,?,White,Female,?
32,Bachelors,Never-married,?,White,Female,?
20,Some-college,Never-married,?,White,Female,?
20,Some-college,Never-married,?,White,Female,?
68,7th-8th,Widowed,?,White,Female,?
40,HS-grad,Divorced,Adm-clerical,White,Female,?
65,Some-college,Divorced,Adm-clerical,White,Female,?
26,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Female,?
42,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,?
32,Bachelors,Married-civ-spouse,Adm-clerical,White,Female,?
64,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,?
31,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,?
24,Assoc-acdm,Never-married,Adm-clerical,White,Female,?
22,Assoc-voc,Never-married,Adm-clerical,White,Female,?
28,Bachelors,Never-married,Adm-clerical,White,Female,?
20,Some-college,Never-married,Adm-clerical,White,Female,?
19,Some-college,Never-married,Adm-clerical,White,Female,?
27,Some-college,Never-married,Adm-clerical,White,Female,?
20,Some-college,Never-married,Adm-clerical,White,Female,?
31,HS-grad,Separated,Adm-clerical,White,Female,?
58,10th,Married-civ-spouse,Craft-repair,White,Female,?
41,Assoc-voc,Never-married,Craft-repair,White,Female,?
33,Assoc-acdm,Never-married,Exec-managerial,White,Female,?
28,Bachelors,Never-married,Exec-managerial,White,Female,?
28,Masters,Never-married,Exec-managerial,White,Female,?
33,Masters,Never-married,Exec-managerial,White,Female,?
22,Some-college,Never-married,Exec-managerial,White,Female,?
28,Some-college,Never-married,Exec-managerial,White,Female,?
52,Bachelors,Separated,Exec-managerial,White,Female,?
46,Bachelors,Widowed,Exec-managerial,White,Female,?
48,Masters,Widowed,Exec-managerial,White,Female,?
28,5th-6th,Never-married,Machine-op-inspct,White,Female,?
52,5th-6th,Never-married,Machine-op-inspct,White,Female,?
33,HS-grad,Never-married,Machine-op-inspct,White,Female,?
55,Bachelors,Widowed,Machine-op-inspct,White,Female,?
64,5th-6th,Divorced,Other-service,White,Female,?
48,Assoc-voc,Divorced,Other-service,White,Female,?
